"SID","lat","lon","elev","name"
70261,64.8161,-147.8767,135.3,"FAIRBANKS/INT., AK"
70273,61.1561,-149.9842,43.8,"ANCHORAGE/INT., AK"
70308,57.15,-170.2167,9.1,"ST. PAUL ISLANDS, AK"
70316,55.2011,-162.7164,32,"COLD BAY, AK"
70326,58.6811,-156.6514,16.1,"KING SALMON, AK"
70350,57.7464,-152.4933,33.8,"KODIAK, AK"
70361,59.5167,-139.6667,13.1,"YAKUTAT, AK"
70398,55.0389,-131.5778,35.4,"ANNETTE ISLAND, AK"
70414,52.7167,174.1,31,"SHEMYA AFB"
71043,65.2825,-126.8003,72.54,"NORMAN WELLS A, NWT"
71081,68.7758,-81.2425,9.1,"HALL BEACH A, NU"
71082,82.5167,-62.2667,28,"ALERT, NU"
71109,50.6803,-127.3661,21.6,"PORT HARDY A, BC"
71119,53.5475,-114.1083,766.3,"EDMONTON STONY PLAIN, ALTA"
71603,43.8308,-66.0886,43,"YARMOUTH A, NS"
71722,46.3019,-76.0061,187.97,"MANIWAKI UA, QUE"
71802,47.5167,-52.7833,112.45,"ST JOHN'S WEST UA, NFLD"
71811,50.2167,-66.25,54.68,"SEPT-ILES UA, QUE"
71815,48.5333,-58.55,24.7,"STEPHENVILLE A, NFLD"
71816,53.3167,-60.4167,48.8,"GOOSE A, NFLD"
71823,53.75,-73.6833,306.3,"LA GRANDE IV, QUE"
71845,51.4464,-90.2142,386.2,"PICKLE LAKE A, ONT"
71867,53.9667,-101.1,270.36,"THE PAS A, MAN"
71906,58.1,-68.4167,39.3,"KUUJJUAQ A, QUE"
71907,58.4667,-78.0833,25.3,"INUKJUAK A, QUE"
71908,53.9,-122.79,600.54,"PRINCE GEORGE UA, BC"
71909,63.75,-68.55,33.5,"IQALUIT A, NU"
71913,58.7392,-94.0664,29.26,"CHURCHILL A, MAN"
71917,79.9833,-85.9333,10.4,"EUREKA, NU"
71924,74.7169,-94.9694,67.68,"RESOLUTE CARS, NU"
71925,69.1081,-105.1383,27.4,"CAMBRIDGE BAY A, NU"
71926,64.2989,-96.0778,18.6,"BAKER LAKE A, NU"
71934,60.0203,-111.9619,204.52,"FORT SMITH A, NWT"
71945,58.8364,-122.5972,381.9,"FORT NELSON A, BC"
71957,68.3,-133.4833,68.3,"INUVIK AWOS A, NWT"
71964,60.7094,-135.0689,706.2,"WHITEHORSE A, YT"
72201,24.5522,-81.7575,4.7,"KEY WEST/INT., FL"
72202,25.75,-80.3833,5,"MIAMI, FL"
72206,30.4839,-81.7011,10.9,"JACKSONVILLE/INTNL.,  FL."
72208,32.895,-80.0275,14.3,"CHARLESTON/MUN., SC."
72210,27.7053,-82.4006,14.8,"TAMPA BAY AREA, FL."
72215,33.5267,-84.5678,256.6,"PEACHTREE CITY, GA."
72221,30.4833,-86.5167,29,"VALPARAISO/EGLIN AFB, FL."
72230,33.1789,-86.7822,175.2,"BIRMINGHAM, AL"
72233,30.3369,-89.825,10.9,"SLIDELL/MUN. LA"
72235,32.3189,-90.08,91.1,"JACKSON/ALLEN C. THOMPSON FIELD, MS."
72240,30.1253,-93.2161,5.9,"LAKE CHARLES/MUN.,  LA."
72248,32.4511,-93.8414,85.3,"SHREVEPORT/REG., LA."
72249,32.835,-97.2986,198.9,"FORT WORTH, TX."
72250,25.9167,-97.4192,7.8,"BROWNSVILLE/INT., TX"
72251,27.7789,-97.5056,15.3,"CORPUS CHRISTI/INT.,  TX."
